"","TP_SEXO","ST_CONCLUSAO","TP_ESCOLA","IN_TP_ENSINO","TP_COR_RACA","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DEFICIENCIA_AUDITIVA","IN_SURDO_CEGUEIRA","IN_DEFICIENCIA_FISICA","IN_DEFICIENCIA_MENTAL","IN_DEFICIT_ATENCAO","IN_DISLEXIA","IN_AUTISMO","ID_DEPENDENCIA_ADM","ID_LOCALIZACAO","NU_NOTA_REDACAO"
"56",0,0.333333333333333,1,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,1,0.5,0.613636363636364
"57",1,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.204545454545455
"60",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455
"61",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"62",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.340909090909091
"64",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.590909090909091
"65",0,0,0,0.666666666666667,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.795454545454545
"67",0,0.333333333333333,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"68",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818181818
"70",1,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091
"71",0,0,0,0.666666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.704545454545455
"72",1,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.613636363636364
"73",1,0,0,0.666666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455
"74",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.795454545454545
"75",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727
"76",1,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455
"77",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.477272727272727
"79",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.613636363636364
"81",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"82",1,0.333333333333333,0.5,0.666666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"83",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.704545454545455
"84",0,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",1,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"86",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727
"87",1,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.931818181818182
"88",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"90",1,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"91",0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"92",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.795454545454545
"94",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"96",0,0.333333333333333,0.5,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.409090909090909
"97",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"98",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
"100",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.772727272727273
"101",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.409090909090909
"102",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727
"103",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",1,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"105",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"107",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"108",1,0,0,0.333333333333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.431818181818182
"110",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545
"112",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.681818181818182
"115",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"116",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"117",0,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455
"119",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818181818
"120",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",1,0.333333333333333,0.5,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
"122",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"123",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"124",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.727272727272727
"125",1,0.333333333333333,0.5,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"126",0,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",1,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.75
"128",1,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",0,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545
"130",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"132",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.522727272727273
"133",0,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.840909090909091
"134",1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"135",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.386363636363636
"136",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.659090909090909
"137",0,0.333333333333333,0.5,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"138",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"139",1,0.333333333333333,0.5,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.318181818181818
"140",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"142",0,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.863636363636364
"143",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.863636363636364
"144",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.772727272727273
"145",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.522727272727273
"146",0,0.333333333333333,0.5,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.545454545454545
"147",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"148",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"149",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364
"150",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.454545454545455
"151",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"152",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636363636
"153",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.931818181818182
"154",0,0.333333333333333,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
"155",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"156",0,1,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636363636
"157",1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.75
"158",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",0,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"160",1,0.333333333333333,1,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,1,0.5,0.477272727272727
"161",0,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.840909090909091
"162",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",1,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.704545454545455
"164",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.522727272727273
"165",1,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.795454545454545
"166",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636363636
"169",1,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",1,0.666666666666667,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.840909090909091
"172",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.340909090909091
"173",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.613636363636364
"174",0,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"175",1,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"176",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"177",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"178",1,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.386363636363636
"179",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.340909090909091
"180",0,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",1,0.333333333333333,0.5,0.666666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"182",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"183",1,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"185",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"186",1,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"187",1,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.431818181818182
"189",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",0,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.431818181818182
"192",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"194",0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"195",0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.704545454545455
"196",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.295454545454545
"197",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",1,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"201",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.613636363636364
"203",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"204",0,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.954545454545455
"205",0,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.681818181818182
"206",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"208",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.659090909090909
"209",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.545454545454545
"211",1,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"213",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"214",0,0,0,0.666666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455
"215",1,0.333333333333333,0.5,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.386363636363636
"216",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"218",0,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.431818181818182
"219",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.454545454545455
"221",0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545
"223",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"224",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"225",0,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"226",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091
"227",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"229",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"230",0,0.666666666666667,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.659090909090909
"231",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",0,0.666666666666667,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.818181818181818
"234",0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"235",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.545454545454545
"236",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"237",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",1,0.333333333333333,0.5,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.363636363636364
"239",1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477272727272727
"240",1,0,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"241",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",1,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.386363636363636
"243",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.613636363636364
"244",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.909090909090909
"245",0,0.333333333333333,1,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0.590909090909091
"246",1,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.863636363636364
"247",1,0.333333333333333,0.5,0.333333333333333,0.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.454545454545455
"248",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.545454545454545
